,前方連関指標,後方連関指標,総合連関指標,純移輸出額,特化係数
農林漁業,0.15047159609751923,0.9307842828468262,0.3596931309783305,51499.0,1.5172082069530488
鉱業,28.698341048179397,1.073992009318643,0.018872104835946743,-562293.0,0.5666483276268816
飲食料品,0.1455337796541433,1.0015764622957353,0.7385955543326422,-100951.0,0.7255366978333117
繊維製品,0.17214144552265673,0.9361001137026336,0.1834033678311073,1584.0,2.4860459471312386
パルプ・紙・木製品,0.2800804113972856,1.0047923356592954,0.24432308173157416,-5402.0,0.9494541838632179
化学製品,0.1803596742924082,0.9393552886033745,1.0550441957493302,205125.0,2.263335489252243
石油・石炭製品,0.15108603778022284,0.8198342101837062,0.4053833445123053,431220.0,3.945202812250505
プラスチック・ゴム製品,0.3199970338219941,0.9307735796382927,0.1758738025960264,-7619.0,0.6649683158324401
窯業・土石製品,0.2509312279462507,1.0776942625680714,0.20016224088656318,-5456.0,0.8636238312823104
鉄鋼,0.21864589832051642,1.5335399755114738,1.1403832472993636,334029.0,3.4730246085755043
非鉄金属,0.6606072830453327,0.8870161560149181,0.03292226431702746,-16233.0,0.2141954840467937
金属製品,0.24650663660283323,1.2474959095532256,0.6021439152648211,-4481.0,0.8915332511545551
はん用機械,0.1060830591819716,0.8966840316110811,0.5205029377375388,176195.0,3.3951009031006185
生産用機械,0.11869386049597314,1.019766344362898,0.4430957492239122,45674.0,0.9282109115124992
業務用機械,0.19508951119713833,0.9289653119982905,0.03807611403727737,-16357.0,0.25747299016300984
電子部品,0.371056373515628,0.897415228928322,0.02831052735068629,-2598.0,0.1314133287865584
電気機械,0.26301914534015397,0.9193671223192498,0.04844776780793214,-73165.0,0.15188732350464795
情報通信機器,0.24974277868338227,0.8926693864555816,0.004904053923908693,-53495.0,0.03364098626065265
輸送機械,0.7464969449165344,0.881254608241136,0.03002915903046085,-85764.0,0.041777012568434836
その他の製造工業製品,0.28890938140177563,0.9984659497944774,0.17083745946010337,-38045.0,0.5381355775057721
建設,0.09703531008848627,1.0026248288029016,2.2404027451288897,0.0,1.2695123043705343
電力・ガス・熱供給,0.20569137142542832,0.9739976730644834,0.5099149642937649,35640.0,1.3672813230614502
水道,0.1681178578415714,1.0951168537938414,0.19151273003398614,0.0,1.1515701902731523
廃棄物処理,0.16157535917016902,0.9909335109603551,0.21836886750291382,-1848.0,1.8134311500864455
商業,0.1621009946763439,0.9543619500660988,1.7302783434357094,-99088.0,0.7156138156699872
金融・保険,0.20270570659023873,0.951160633751174,0.5361327853909004,-32405.0,0.7869229900288675
不動産,0.11283743852766717,0.8646639703466614,0.7165967701810665,-797.0,0.8426081879819574
運輸・郵便,0.311878620004742,1.0415438592059236,1.1209881632922791,-29032.0,0.8727274298622077
情報通信,0.2528337787245005,1.0228039968903373,0.40347936793444755,-115019.0,0.43751525820403575
公務,0.09307079465595831,0.9309408390433871,0.7340073830542944,0.0,0.7831010129796653
教育・研究,0.08973538669409424,0.9079110768717887,0.7776163773078284,4884.0,1.0849654506326039
医療・福祉,0.08949397852093534,0.9332122143595954,1.6744020602781418,-21.0,1.2509619678685218
他に分類されない会員制団体,0.12384527877236645,0.9609579181590038,0.1849938657454326,17101.0,1.281297589761039
対事業所サービス,0.42623027865964663,0.9073485896470873,0.3501893713020993,-225415.0,0.43093802014799376
対個人サービス,0.09369096879451638,1.0037680319437825,1.2990371616685172,-11029.0,0.7607158755036729
事務用品,0.24819522184066628,1.1026723316358575,0.058629893978652266,-1.0,0.9267084146158562
分類不明,0.3471685276195595,1.5384391518504879,0.3338263523943822,-7396.0,0.6158635774297027
